Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
"Sat, Jun 1, 2024",,Minnesota Timberwolves,,Dallas Mavericks,,,,,American Airlines Center,
"Sun, Jun 2, 2024",,Indiana Pacers,,Boston Celtics,,,,,TD Garden,
"Mon, Jun 3, 2024",,Dallas Mavericks,,Minnesota Timberwolves,,,,,Target Center,
