Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
"Fri, Dec 8, 2023",7:30p,New York Knicks,123,Boston Celtics,133,Box Score,,"19,156",TD Garden,
"Fri, Dec 8, 2023",7:30p,Washington Wizards,97,Brooklyn Nets,124,Box Score,,"16,587",Barclays Center,
"Fri, Dec 8, 2023",8:00p,Minnesota Timberwolves,127,Memphis Grizzlies,103,Box Score,,"15,577",FedEx Forum,
"Fri, Dec 8, 2023",8:00p,Cleveland Cavaliers,111,Miami Heat,99,Box Score,,"19,6",Kaseya Center,
"Fri, Dec 8, 2023",8:00p,Golden State Warriors,136,Oklahoma City Thunder,138,Box Score,OT,"17,112",Paycom Center,
"Fri, Dec 8, 2023",8:30p,Chicago Bulls,121,San Antonio Spurs,112,Box Score,,"18,074",Frost Bank Center,
"Fri, Dec 8, 2023",9:00p,Houston Rockets,114,Denver Nuggets,106,Box Score,,"19,544",Ball Arena,
"Fri, Dec 8, 2023",9:00p,Sacramento Kings,114,Phoenix Suns,106,Box Score,,"17,071",Footprint Center,
"Fri, Dec 8, 2023",10:00p,Dallas Mavericks,125,Portland Trail Blazers,112,Box Score,,"18,762",Moda Center,
"Fri, Dec 8, 2023",10:00p,Los Angeles Clippers,117,Utah Jazz,103,Box Score,,"18,206",Delta Center,
"Sat, Dec 9, 2023",8:30p,Indiana Pacers,109,Los Angeles Lakers,123,Box Score,,"19,021",T-Mobile Arena,In-Season Tournament
"Mon, Dec 11, 2023",7:00p,Miami Heat,116,Charlotte Hornets,114,Box Score,,"15,543",Spectrum Center,
"Mon, Dec 11, 2023",7:00p,Indiana Pacers,131,Detroit Pistons,123,Box Score,,"14,988",Little Caesars Arena,
"Mon, Dec 11, 2023",7:00p,Cleveland Cavaliers,94,Orlando Magic,104,Box Score,,"19,032",Kia Center,
"Mon, Dec 11, 2023",7:00p,Washington Wizards,101,Philadelphia 76ers,146,Box Score,,"19,762",Wells Fargo Center,
"Mon, Dec 11, 2023",7:30p,Denver Nuggets,129,Atlanta Hawks,122,Box Score,,"17,531",State Farm Arena,
"Mon, Dec 11, 2023",7:30p,Toronto Raptors,130,New York Knicks,136,Box Score,,"19,812",Madison Square Garden (IV),
"Mon, Dec 11, 2023",8:00p,San Antonio Spurs,82,Houston Rockets,93,Box Score,,"16,481",Toyota Center,
"Mon, Dec 11, 2023",8:00p,Dallas Mavericks,120,Memphis Grizzlies,113,Box Score,,"16,379",FedEx Forum,
"Mon, Dec 11, 2023",8:00p,Chicago Bulls,129,Milwaukee Bucks,133,Box Score,OT,"17,44",Fiserv Forum,
"Mon, Dec 11, 2023",8:00p,Minnesota Timberwolves,107,New Orleans Pelicans,121,Box Score,,"16,487",Smoothie King Center,
"Mon, Dec 11, 2023",8:00p,Utah Jazz,120,Oklahoma City Thunder,134,Box Score,,"16,631",Paycom Center,
"Mon, Dec 11, 2023",10:00p,Brooklyn Nets,118,Sacramento Kings,131,Box Score,,"17,794",Golden 1 Center,
"Mon, Dec 11, 2023",10:30p,Portland Trail Blazers,127,Los Angeles Clippers,132,Box Score,,"17,102",Crypto.com Arena,
"Tue, Dec 12, 2023",7:30p,Cleveland Cavaliers,113,Boston Celtics,120,Box Score,,"19,156",TD Garden,
"Tue, Dec 12, 2023",7:30p,Los Angeles Lakers,125,Dallas Mavericks,127,Box Score,,"20,377",American Airlines Center,
"Tue, Dec 12, 2023",8:00p,Denver Nuggets,114,Chicago Bulls,106,Box Score,,"20,775",United Center,
"Tue, Dec 12, 2023",10:00p,Golden State Warriors,116,Phoenix Suns,119,Box Score,,"17,071",Footprint Center,
