,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
490,"Tue, Jan 2, 2024",8:00p,San Antonio Spurs,98.0,Memphis Grizzlies,106.0,Box Score,,"17,794",FedEx Forum,
491,"Tue, Jan 2, 2024",8:00p,Brooklyn Nets,85.0,New Orleans Pelicans,112.0,Box Score,,"16,253",Smoothie King Center,
492,"Tue, Jan 2, 2024",8:00p,Boston Celtics,123.0,Oklahoma City Thunder,127.0,Box Score,,"18,203",Paycom Center,
493,"Tue, Jan 2, 2024",10:00p,Orlando Magic,115.0,Golden State Warriors,121.0,Box Score,,"18,064",Chase Center,
494,"Tue, Jan 2, 2024",10:00p,Charlotte Hornets,111.0,Sacramento Kings,104.0,Box Score,,"17,832",Golden 1 Center,
495,"Wed, Jan 3, 2024",7:00p,Washington Wizards,101.0,Cleveland Cavaliers,140.0,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
496,"Wed, Jan 3, 2024",7:00p,Milwaukee Bucks,130.0,Indiana Pacers,142.0,Box Score,,"17,274",Gainbridge Fieldhouse,
497,"Wed, Jan 3, 2024",7:30p,Oklahoma City Thunder,138.0,Atlanta Hawks,141.0,Box Score,,"17,77",State Farm Arena,
498,"Wed, Jan 3, 2024",8:00p,Brooklyn Nets,101.0,Houston Rockets,112.0,Box Score,,"16,563",Toyota Center,
499,"Wed, Jan 3, 2024",8:00p,Toronto Raptors,116.0,Memphis Grizzlies,111.0,Box Score,,"16,385",FedEx Forum,
500,"Wed, Jan 3, 2024",8:00p,New Orleans Pelicans,117.0,Minnesota Timberwolves,106.0,Box Score,,"18,024",Target Center,
501,"Wed, Jan 3, 2024",8:30p,Portland Trail Blazers,97.0,Dallas Mavericks,126.0,Box Score,,"20,077",American Airlines Center,
502,"Wed, Jan 3, 2024",8:30p,Chicago Bulls,100.0,New York Knicks,116.0,Box Score,,"19,812",Madison Square Garden (IV),
503,"Wed, Jan 3, 2024",9:00p,Los Angeles Clippers,131.0,Phoenix Suns,122.0,Box Score,,"17,071",Footprint Center,
504,"Wed, Jan 3, 2024",9:00p,Detroit Pistons,148.0,Utah Jazz,154.0,Box Score,OT,"18,206",Delta Center,
505,"Wed, Jan 3, 2024",10:00p,Miami Heat,110.0,Los Angeles Lakers,96.0,Box Score,,"18,997",Crypto.com Arena,
506,"Wed, Jan 3, 2024",10:00p,Orlando Magic,135.0,Sacramento Kings,138.0,Box Score,2OT,"17,832",Golden 1 Center,
507,"Thu, Jan 4, 2024",7:30p,Milwaukee Bucks,125.0,San Antonio Spurs,121.0,Box Score,,"19,082",Frost Bank Center,
508,"Thu, Jan 4, 2024",10:00p,Denver Nuggets,130.0,Golden State Warriors,127.0,Box Score,,"18,064",Chase Center,
509,"Fri, Jan 5, 2024",7:00p,Utah Jazz,97.0,Boston Celtics,126.0,Box Score,,"19,156",TD Garden,
510,"Fri, Jan 5, 2024",7:00p,Atlanta Hawks,116.0,Indiana Pacers,150.0,Box Score,,"17,274",Gainbridge Fieldhouse,
511,"Fri, Jan 5, 2024",7:30p,Oklahoma City Thunder,115.0,Brooklyn Nets,124.0,Box Score,,"18,147",Barclays Center,
512,"Fri, Jan 5, 2024",7:30p,Washington Wizards,90.0,Cleveland Cavaliers,114.0,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
513,"Fri, Jan 5, 2024",7:30p,New York Knicks,128.0,Philadelphia 76ers,92.0,Box Score,,"20,461",Wells Fargo Center,
514,"Fri, Jan 5, 2024",8:00p,Charlotte Hornets,91.0,Chicago Bulls,104.0,Box Score,,"21,345",United Center,
515,"Fri, Jan 5, 2024",8:00p,Minnesota Timberwolves,122.0,Houston Rockets,95.0,Box Score,,"18,055",Toyota Center,
516,"Fri, Jan 5, 2024",8:00p,Los Angeles Clippers,111.0,New Orleans Pelicans,95.0,Box Score,,"18,329",Smoothie King Center,
517,"Fri, Jan 5, 2024",8:30p,Portland Trail Blazers,103.0,Dallas Mavericks,139.0,Box Score,,"20,162",American Airlines Center,
518,"Fri, Jan 5, 2024",9:00p,Orlando Magic,122.0,Denver Nuggets,120.0,Box Score,,"19,659",Ball Arena,
519,"Fri, Jan 5, 2024",9:00p,Miami Heat,97.0,Phoenix Suns,113.0,Box Score,,"17,071",Footprint Center,
520,"Fri, Jan 5, 2024",10:00p,Detroit Pistons,109.0,Golden State Warriors,113.0,Box Score,,"18,064",Chase Center,
521,"Fri, Jan 5, 2024",10:00p,Memphis Grizzlies,127.0,Los Angeles Lakers,113.0,Box Score,,"18,997",Crypto.com Arena,
522,"Fri, Jan 5, 2024",10:00p,Toronto Raptors,130.0,Sacramento Kings,135.0,Box Score,,"17,941",Golden 1 Center,
523,"Sat, Jan 6, 2024",7:00p,Boston Celtics,118.0,Indiana Pacers,101.0,Box Score,,"17,274",Gainbridge Fieldhouse,
524,"Sat, Jan 6, 2024",7:00p,New York Knicks,121.0,Washington Wizards,105.0,Box Score,,"20,333",Capital One Arena,
525,"Sat, Jan 6, 2024",7:30p,Utah Jazz,120.0,Philadelphia 76ers,109.0,Box Score,,"20,278",Wells Fargo Center,
526,"Sat, Jan 6, 2024",8:00p,Milwaukee Bucks,108.0,Houston Rockets,112.0,Box Score,,"18,055",Toyota Center,
527,"Sun, Jan 7, 2024",1:00p,San Antonio Spurs,115.0,Cleveland Cavaliers,117.0,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
528,"Sun, Jan 7, 2024",3:00p,Portland Trail Blazers,134.0,Brooklyn Nets,127.0,Box Score,OT,"17,732",Barclays Center,
529,"Sun, Jan 7, 2024",6:00p,Atlanta Hawks,110.0,Orlando Magic,117.0,Box Score,OT,"19,349",Kia Center,
530,"Sun, Jan 7, 2024",6:00p,New Orleans Pelicans,133.0,Sacramento Kings,100.0,Box Score,,"17,832",Golden 1 Center,
531,"Sun, Jan 7, 2024",7:30p,Minnesota Timberwolves,108.0,Dallas Mavericks,115.0,Box Score,,"20,111",American Airlines Center,
532,"Sun, Jan 7, 2024",8:00p,Detroit Pistons,114.0,Denver Nuggets,131.0,Box Score,,"19,623",Ball Arena,
533,"Sun, Jan 7, 2024",8:00p,Memphis Grizzlies,121.0,Phoenix Suns,115.0,Box Score,,"17,071",Footprint Center,
534,"Sun, Jan 7, 2024",8:30p,Toronto Raptors,133.0,Golden State Warriors,118.0,Box Score,,"18,064",Chase Center,
535,"Sun, Jan 7, 2024",9:30p,Los Angeles Clippers,103.0,Los Angeles Lakers,106.0,Box Score,,"18,997",Crypto.com Arena,
536,"Mon, Jan 8, 2024",7:00p,Chicago Bulls,119.0,Charlotte Hornets,112.0,Box Score,OT,"14,418",Spectrum Center,
537,"Mon, Jan 8, 2024",7:00p,Boston Celtics,131.0,Indiana Pacers,133.0,Box Score,,"16,009",Gainbridge Fieldhouse,
538,"Mon, Jan 8, 2024",7:00p,Oklahoma City Thunder,136.0,Washington Wizards,128.0,Box Score,,"15,297",Capital One Arena,
539,"Mon, Jan 8, 2024",7:30p,Houston Rockets,113.0,Miami Heat,120.0,Box Score,,"19,694",Kaseya Center,
540,"Mon, Jan 8, 2024",8:00p,Utah Jazz,132.0,Milwaukee Bucks,116.0,Box Score,,"17,341",Fiserv Forum,
541,"Mon, Jan 8, 2024",10:30p,Phoenix Suns,111.0,Los Angeles Clippers,138.0,Box Score,,"19,37",Crypto.com Arena,
542,"Tue, Jan 9, 2024",7:00p,Sacramento Kings,131.0,Detroit Pistons,110.0,Box Score,,"13,992",Little Caesars Arena,
543,"Tue, Jan 9, 2024",7:00p,Minnesota Timberwolves,113.0,Orlando Magic,92.0,Box Score,,"19,223",Kia Center,
544,"Tue, Jan 9, 2024",7:30p,Portland Trail Blazers,84.0,New York Knicks,112.0,Box Score,,"19,812",Madison Square Garden (IV),
545,"Tue, Jan 9, 2024",8:30p,Memphis Grizzlies,120.0,Dallas Mavericks,103.0,Box Score,,"20,116",American Airlines Center,
546,"Tue, Jan 9, 2024",10:30p,Toronto Raptors,131.0,Los Angeles Lakers,132.0,Box Score,,"18,997",Crypto.com Arena,
547,"Wed, Jan 10, 2024",7:00p,Minnesota Timberwolves,120.0,Boston Celtics,127.0,Box Score,OT,"19,156",TD Garden,
548,"Wed, Jan 10, 2024",7:00p,Sacramento Kings,123.0,Charlotte Hornets,98.0,Box Score,,"14,173",Spectrum Center,
549,"Wed, Jan 10, 2024",7:00p,San Antonio Spurs,130.0,Detroit Pistons,108.0,Box Score,,"17,833",Little Caesars Arena,
550,"Wed, Jan 10, 2024",7:00p,Washington Wizards,104.0,Indiana Pacers,112.0,Box Score,,"15,721",Gainbridge Fieldhouse,
551,"Wed, Jan 10, 2024",7:30p,Philadelphia 76ers,132.0,Atlanta Hawks,139.0,Box Score,OT,"16,089",State Farm Arena,
552,"Wed, Jan 10, 2024",7:30p,Oklahoma City Thunder,128.0,Miami Heat,120.0,Box Score,,"19,636",Kaseya Center,
553,"Wed, Jan 10, 2024",8:00p,Houston Rockets,119.0,Chicago Bulls,124.0,Box Score,OT,"21,149",United Center,
554,"Wed, Jan 10, 2024",8:30p,New Orleans Pelicans,141.0,Golden State Warriors,105.0,Box Score,,"18,064",Chase Center,
555,"Wed, Jan 10, 2024",10:00p,Denver Nuggets,111.0,Utah Jazz,124.0,Box Score,,"18,206",Delta Center,
556,"Wed, Jan 10, 2024",10:30p,Toronto Raptors,120.0,Los Angeles Clippers,126.0,Box Score,,"19,37",Crypto.com Arena,
557,"Thu, Jan 11, 2024",2:00p,Brooklyn Nets,102.0,Cleveland Cavaliers,111.0,Box Score,,"15,887",AccorHotels Arena,"at Paris, France"
558,"Thu, Jan 11, 2024",7:30p,Boston Celtics,102.0,Milwaukee Bucks,135.0,Box Score,,"17,781",Fiserv Forum,
559,"Thu, Jan 11, 2024",8:00p,Portland Trail Blazers,77.0,Oklahoma City Thunder,139.0,Box Score,,"15,828",Paycom Center,
560,"Thu, Jan 11, 2024",8:30p,New York Knicks,124.0,Dallas Mavericks,128.0,Box Score,,"20,04",American Airlines Center,
561,"Thu, Jan 11, 2024",10:00p,Phoenix Suns,127.0,Los Angeles Lakers,109.0,Box Score,,"18,416",Crypto.com Arena,
562,"Fri, Jan 12, 2024",7:30p,Indiana Pacers,126.0,Atlanta Hawks,108.0,Box Score,,"15,596",State Farm Arena,
563,"Fri, Jan 12, 2024",7:30p,Houston Rockets,112.0,Detroit Pistons,110.0,Box Score,,"13,987",Little Caesars Arena,
564,"Fri, Jan 12, 2024",7:30p,Sacramento Kings,93.0,Philadelphia 76ers,112.0,Box Score,,"19,766",Wells Fargo Center,
565,"Fri, Jan 12, 2024",8:00p,Golden State Warriors,140.0,Chicago Bulls,131.0,Box Score,,"21,153",United Center,
566,"Fri, Jan 12, 2024",8:00p,Los Angeles Clippers,128.0,Memphis Grizzlies,119.0,Box Score,,"16,617",FedEx Forum,
567,"Fri, Jan 12, 2024",8:00p,Orlando Magic,96.0,Miami Heat,99.0,Box Score,,"19,65",Kaseya Center,
568,"Fri, Jan 12, 2024",8:00p,Portland Trail Blazers,93.0,Minnesota Timberwolves,116.0,Box Score,,"18,024",Target Center,
569,"Fri, Jan 12, 2024",8:00p,Charlotte Hornets,99.0,San Antonio Spurs,135.0,Box Score,,"18,073",Frost Bank Center,
570,"Fri, Jan 12, 2024",9:30p,Toronto Raptors,113.0,Utah Jazz,145.0,Box Score,,"18,206",Delta Center,
571,"Fri, Jan 12, 2024",10:00p,New Orleans Pelicans,113.0,Denver Nuggets,125.0,Box Score,,"19,638",Ball Arena,
572,"Sat, Jan 13, 2024",7:00p,Houston Rockets,113.0,Boston Celtics,145.0,Box Score,,"19,156",TD Garden,
573,"Sat, Jan 13, 2024",7:30p,Washington Wizards,127.0,Atlanta Hawks,99.0,Box Score,,"17,108",State Farm Arena,
574,"Sat, Jan 13, 2024",8:00p,New York Knicks,106.0,Memphis Grizzlies,94.0,Box Score,,"16,598",FedEx Forum,
575,"Sat, Jan 13, 2024",8:00p,Golden State Warriors,118.0,Milwaukee Bucks,129.0,Box Score,,"18,009",Fiserv Forum,
576,"Sat, Jan 13, 2024",8:00p,Orlando Magic,100.0,Oklahoma City Thunder,112.0,Box Score,,"18,203",Paycom Center,
577,"Sat, Jan 13, 2024",8:30p,New Orleans Pelicans,118.0,Dallas Mavericks,108.0,Box Score,,"20,155",American Airlines Center,
578,"Sat, Jan 13, 2024",8:30p,Chicago Bulls,122.0,San Antonio Spurs,116.0,Box Score,,"18,354",Frost Bank Center,
579,"Sat, Jan 13, 2024",9:30p,Los Angeles Lakers,125.0,Utah Jazz,132.0,Box Score,,"18,206",Delta Center,
580,"Sun, Jan 14, 2024",3:30p,Indiana Pacers,109.0,Denver Nuggets,117.0,Box Score,,"19,631",Ball Arena,
581,"Sun, Jan 14, 2024",6:00p,Charlotte Hornets,87.0,Miami Heat,104.0,Box Score,,"19,831",Kaseya Center,
582,"Sun, Jan 14, 2024",7:00p,Sacramento Kings,142.0,Milwaukee Bucks,143.0,Box Score,OT,"17,612",Fiserv Forum,
583,"Sun, Jan 14, 2024",7:00p,Los Angeles Clippers,105.0,Minnesota Timberwolves,109.0,Box Score,,"18,024",Target Center,
584,"Sun, Jan 14, 2024",9:00p,Phoenix Suns,127.0,Portland Trail Blazers,116.0,Box Score,,"18,071",Moda Center,
585,"Mon, Jan 15, 2024",1:00p,Houston Rockets,115.0,Philadelphia 76ers,124.0,Box Score,,"20,822",Wells Fargo Center,
586,"Mon, Jan 15, 2024",2:30p,New Orleans Pelicans,120.0,Dallas Mavericks,125.0,Box Score,,"20,01",American Airlines Center,
587,"Mon, Jan 15, 2024",3:00p,Orlando Magic,98.0,New York Knicks,94.0,Box Score,,"19,812",Madison Square Garden (IV),
588,"Mon, Jan 15, 2024",3:00p,Detroit Pistons,129.0,Washington Wizards,117.0,Box Score,,"15,156",Capital One Arena,
589,"Mon, Jan 15, 2024",3:30p,San Antonio Spurs,99.0,Atlanta Hawks,109.0,Box Score,,"17,447",State Farm Arena,
590,"Mon, Jan 15, 2024",6:00p,Golden State Warriors,107.0,Memphis Grizzlies,116.0,Box Score,,"16,612",FedEx Forum,
591,"Mon, Jan 15, 2024",7:00p,Chicago Bulls,91.0,Cleveland Cavaliers,109.0,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
592,"Mon, Jan 15, 2024",7:30p,Miami Heat,96.0,Brooklyn Nets,95.0,Box Score,OT,"17,893",Barclays Center,
593,"Mon, Jan 15, 2024",7:30p,Boston Celtics,105.0,Toronto Raptors,96.0,Box Score,,"19,278",Scotiabank Arena,
594,"Mon, Jan 15, 2024",9:00p,Indiana Pacers,105.0,Utah Jazz,132.0,Box Score,,"18,206",Delta Center,
595,"Mon, Jan 15, 2024",10:30p,Oklahoma City Thunder,105.0,Los Angeles Lakers,112.0,Box Score,,"18,997",Crypto.com Arena,
596,"Tue, Jan 16, 2024",7:30p,Denver Nuggets,121.0,Philadelphia 76ers,126.0,Box Score,,"19,775",Wells Fargo Center,
597,"Tue, Jan 16, 2024",9:00p,Sacramento Kings,117.0,Phoenix Suns,119.0,Box Score,,"17,071",Footprint Center,
598,"Tue, Jan 16, 2024",10:00p,Oklahoma City Thunder,117.0,Los Angeles Clippers,128.0,Box Score,,"19,37",Crypto.com Arena,
599,"Wed, Jan 17, 2024",7:00p,Minnesota Timberwolves,124.0,Detroit Pistons,117.0,Box Score,,"16,022",Little Caesars Arena,
600,"Wed, Jan 17, 2024",7:30p,Orlando Magic,104.0,Atlanta Hawks,106.0,Box Score,,"14,541",State Farm Arena,
601,"Wed, Jan 17, 2024",7:30p,San Antonio Spurs,98.0,Boston Celtics,117.0,Box Score,,"19,156",TD Garden,
602,"Wed, Jan 17, 2024",7:30p,Milwaukee Bucks,95.0,Cleveland Cavaliers,135.0,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
603,"Wed, Jan 17, 2024",7:30p,Houston Rockets,94.0,New York Knicks,109.0,Box Score,,"19,439",Madison Square Garden (IV),
604,"Wed, Jan 17, 2024",7:30p,Miami Heat,97.0,Toronto Raptors,121.0,Box Score,,"19,631",Scotiabank Arena,
605,"Wed, Jan 17, 2024",8:00p,Charlotte Hornets,112.0,New Orleans Pelicans,132.0,Box Score,,"16,093",Smoothie King Center,
606,"Wed, Jan 17, 2024",8:30p,Dallas Mavericks,110.0,Los Angeles Lakers,127.0,Box Score,,"18,338",Crypto.com Arena,
607,"Wed, Jan 17, 2024",10:00p,Brooklyn Nets,103.0,Portland Trail Blazers,105.0,Box Score,,"17,021",Moda Center,
608,"Thu, Jan 18, 2024",7:30p,Washington Wizards,109.0,New York Knicks,113.0,Box Score,,"19,466",Madison Square Garden (IV),
609,"Thu, Jan 18, 2024",7:30p,Chicago Bulls,116.0,Toronto Raptors,110.0,Box Score,,"19,312",Scotiabank Arena,
610,"Thu, Jan 18, 2024",9:00p,Oklahoma City Thunder,134.0,Utah Jazz,129.0,Box Score,,"18,206",Delta Center,
611,"Thu, Jan 18, 2024",10:00p,Memphis Grizzlies,103.0,Minnesota Timberwolves,118.0,Box Score,,"18,024",Target Center,
612,"Thu, Jan 18, 2024",10:00p,Indiana Pacers,126.0,Sacramento Kings,121.0,Box Score,,"17,832",Golden 1 Center,
613,"Fri, Jan 19, 2024",7:00p,San Antonio Spurs,120.0,Charlotte Hornets,124.0,Box Score,,"19,093",Spectrum Center,
614,"Fri, Jan 19, 2024",7:00p,Philadelphia 76ers,124.0,Orlando Magic,109.0,Box Score,,"19,063",Kia Center,
615,"Fri, Jan 19, 2024",7:30p,Denver Nuggets,102.0,Boston Celtics,100.0,Box Score,,"19,156",TD Garden,
616,"Fri, Jan 19, 2024",8:00p,Atlanta Hawks,109.0,Miami Heat,108.0,Box Score,,"20,04",Kaseya Center,
617,"Fri, Jan 19, 2024",8:00p,Phoenix Suns,123.0,New Orleans Pelicans,109.0,Box Score,,"18,686",Smoothie King Center,
618,"Fri, Jan 19, 2024",10:00p,Indiana Pacers,115.0,Portland Trail Blazers,118.0,Box Score,,"18,595",Moda Center,
619,"Fri, Jan 19, 2024",10:30p,Brooklyn Nets,130.0,Los Angeles Lakers,112.0,Box Score,,"18,997",Crypto.com Arena,
620,"Sat, Jan 20, 2024",3:00p,Milwaukee Bucks,141.0,Detroit Pistons,135.0,Box Score,,"19,996",Little Caesars Arena,
621,"Sat, Jan 20, 2024",7:00p,Philadelphia 76ers,97.0,Charlotte Hornets,89.0,Box Score,,"18,261",Spectrum Center,
622,"Sat, Jan 20, 2024",7:00p,San Antonio Spurs,131.0,Washington Wizards,127.0,Box Score,,"17,922",Capital One Arena,
623,"Sat, Jan 20, 2024",7:30p,Cleveland Cavaliers,116.0,Atlanta Hawks,95.0,Box Score,,"17,047",State Farm Arena,
624,"Sat, Jan 20, 2024",7:30p,Toronto Raptors,100.0,New York Knicks,126.0,Box Score,,"19,812",Madison Square Garden (IV),
625,"Sat, Jan 20, 2024",8:00p,Memphis Grizzlies,96.0,Chicago Bulls,125.0,Box Score,,"21,441",United Center,
626,"Sat, Jan 20, 2024",8:00p,Utah Jazz,126.0,Houston Rockets,127.0,Box Score,OT,"16,618",Toyota Center,
627,"Sat, Jan 20, 2024",8:00p,Oklahoma City Thunder,102.0,Minnesota Timberwolves,97.0,Box Score,,,Target Center,
628,"Sun, Jan 21, 2024",3:30p,Brooklyn Nets,114.0,Los Angeles Clippers,125.0,Box Score,,"19,37",Crypto.com Arena,
629,"Sun, Jan 21, 2024",6:00p,Miami Heat,87.0,Orlando Magic,105.0,Box Score,,"18,102",Kia Center,
630,"Sun, Jan 21, 2024",6:00p,Denver Nuggets,113.0,Washington Wizards,104.0,Box Score,,"17,107",Capital One Arena,
631,"Sun, Jan 21, 2024",7:00p,Boston Celtics,116.0,Houston Rockets,107.0,Box Score,,"18,055",Toyota Center,
632,"Sun, Jan 21, 2024",8:00p,Indiana Pacers,110.0,Phoenix Suns,117.0,Box Score,,"17,071",Footprint Center,
633,"Sun, Jan 21, 2024",10:00p,Portland Trail Blazers,110.0,Los Angeles Lakers,134.0,Box Score,,"18,997",Crypto.com Arena,
634,"Mon, Jan 22, 2024",7:00p,Milwaukee Bucks,122.0,Detroit Pistons,113.0,Box Score,,"17,201",Little Caesars Arena,
635,"Mon, Jan 22, 2024",7:00p,Cleveland Cavaliers,126.0,Orlando Magic,99.0,Box Score,,"19,301",Kia Center,
636,"Mon, Jan 22, 2024",7:00p,San Antonio Spurs,123.0,Philadelphia 76ers,133.0,Box Score,,"20,511",Wells Fargo Center,
637,"Mon, Jan 22, 2024",7:30p,Memphis Grizzlies,108.0,Toronto Raptors,100.0,Box Score,,"18,577",Scotiabank Arena,
638,"Mon, Jan 22, 2024",8:00p,Charlotte Hornets,128.0,Minnesota Timberwolves,125.0,Box Score,,"18,024",Target Center,
639,"Mon, Jan 22, 2024",8:30p,Boston Celtics,119.0,Dallas Mavericks,110.0,Box Score,,"20,277",American Airlines Center,
640,"Mon, Jan 22, 2024",9:00p,Chicago Bulls,113.0,Phoenix Suns,115.0,Box Score,,"17,071",Footprint Center,
641,"Mon, Jan 22, 2024",10:00p,Atlanta Hawks,107.0,Sacramento Kings,122.0,Box Score,,"17,832",Golden 1 Center,
642,"Tue, Jan 23, 2024",7:00p,Denver Nuggets,114.0,Indiana Pacers,109.0,Box Score,,"16,004",Gainbridge Fieldhouse,
643,"Tue, Jan 23, 2024",7:30p,New York Knicks,108.0,Brooklyn Nets,103.0,Box Score,,"17,732",Barclays Center,
644,"Tue, Jan 23, 2024",8:00p,Utah Jazz,124.0,New Orleans Pelicans,153.0,Box Score,,"16,032",Smoothie King Center,
645,"Tue, Jan 23, 2024",8:00p,Portland Trail Blazers,109.0,Oklahoma City Thunder,111.0,Box Score,,"15,874",Paycom Center,
646,"Tue, Jan 23, 2024",10:00p,Los Angeles Lakers,116.0,Los Angeles Clippers,127.0,Box Score,,"19,37",Crypto.com Arena,
647,"Wed, Jan 24, 2024",7:00p,Charlotte Hornets,106.0,Detroit Pistons,113.0,Box Score,,"15,02",Little Caesars Arena,
648,"Wed, Jan 24, 2024",7:00p,Minnesota Timberwolves,118.0,Washington Wizards,107.0,Box Score,,"15,446",Capital One Arena,
649,"Wed, Jan 24, 2024",7:30p,Memphis Grizzlies,105.0,Miami Heat,96.0,Box Score,,"19,6",Kaseya Center,
650,"Wed, Jan 24, 2024",8:00p,Portland Trail Blazers,137.0,Houston Rockets,131.0,Box Score,OT,"18,055",Toyota Center,
651,"Wed, Jan 24, 2024",8:00p,Cleveland Cavaliers,116.0,Milwaukee Bucks,126.0,Box Score,,"17,51",Fiserv Forum,
652,"Wed, Jan 24, 2024",8:30p,Phoenix Suns,132.0,Dallas Mavericks,109.0,Box Score,,"20,202",American Airlines Center,
653,"Wed, Jan 24, 2024",9:30p,Oklahoma City Thunder,140.0,San Antonio Spurs,114.0,Box Score,,"18,13",Frost Bank Center,
654,"Wed, Jan 24, 2024",10:00p,Atlanta Hawks,112.0,Golden State Warriors,134.0,Box Score,,"18,064",Chase Center,
655,"Thu, Jan 25, 2024",7:00p,Philadelphia 76ers,122.0,Indiana Pacers,134.0,Box Score,,"15,699",Gainbridge Fieldhouse,
656,"Thu, Jan 25, 2024",7:00p,Utah Jazz,123.0,Washington Wizards,108.0,Box Score,,"14,027",Capital One Arena,
657,"Thu, Jan 25, 2024",7:30p,Minnesota Timberwolves,96.0,Brooklyn Nets,94.0,Box Score,,"17,732",Barclays Center,
658,"Thu, Jan 25, 2024",7:30p,Boston Celtics,143.0,Miami Heat,110.0,Box Score,,"20,074",Kaseya Center,
659,"Thu, Jan 25, 2024",7:30p,Denver Nuggets,84.0,New York Knicks,122.0,Box Score,,"19,812",Madison Square Garden (IV),
660,"Thu, Jan 25, 2024",10:00p,Sacramento Kings,134.0,Golden State Warriors,133.0,Box Score,,"18,064",Chase Center,
661,"Thu, Jan 25, 2024",10:30p,Chicago Bulls,132.0,Los Angeles Lakers,141.0,Box Score,,"18,997",Crypto.com Arena,
662,"Fri, Jan 26, 2024",7:00p,Dallas Mavericks,148.0,Atlanta Hawks,143.0,Box Score,,"16,149",State Farm Arena,
663,"Fri, Jan 26, 2024",7:00p,Houston Rockets,138.0,Charlotte Hornets,104.0,Box Score,,"16,164",Spectrum Center,
664,"Fri, Jan 26, 2024",7:00p,Phoenix Suns,131.0,Indiana Pacers,133.0,Box Score,,"17,274",Gainbridge Fieldhouse,
665,"Fri, Jan 26, 2024",7:30p,Los Angeles Clippers,127.0,Toronto Raptors,107.0,Box Score,,"19,8",Scotiabank Arena,
666,"Fri, Jan 26, 2024",8:00p,Orlando Magic,106.0,Memphis Grizzlies,107.0,Box Score,,"16,823",FedEx Forum,
667,"Fri, Jan 26, 2024",8:00p,Cleveland Cavaliers,112.0,Milwaukee Bucks,100.0,Box Score,,"17,855",Fiserv Forum,
668,"Fri, Jan 26, 2024",8:00p,Oklahoma City Thunder,107.0,New Orleans Pelicans,83.0,Box Score,,"18,624",Smoothie King Center,
669,"Fri, Jan 26, 2024",9:30p,Portland Trail Blazers,100.0,San Antonio Spurs,116.0,Box Score,,"17,274",Frost Bank Center,
670,"Sat, Jan 27, 2024",12:00p,Washington Wizards,118.0,Detroit Pistons,104.0,Box Score,,"16,922",Little Caesars Arena,
671,"Sat, Jan 27, 2024",3:00p,Miami Heat,109.0,New York Knicks,125.0,Box Score,,"19,812",Madison Square Garden (IV),
672,"Sat, Jan 27, 2024",5:30p,Philadelphia 76ers,105.0,Denver Nuggets,111.0,Box Score,,"19,805",Ball Arena,
673,"Sat, Jan 27, 2024",6:00p,Houston Rockets,104.0,Brooklyn Nets,106.0,Box Score,,"17,732",Barclays Center,
674,"Sat, Jan 27, 2024",7:00p,Los Angeles Clippers,115.0,Boston Celtics,96.0,Box Score,,"19,156",TD Garden,
675,"Sat, Jan 27, 2024",7:00p,Utah Jazz,134.0,Charlotte Hornets,122.0,Box Score,,"17,633",Spectrum Center,
676,"Sat, Jan 27, 2024",8:00p,New Orleans Pelicans,117.0,Milwaukee Bucks,141.0,Box Score,,"17,94",Fiserv Forum,
677,"Sat, Jan 27, 2024",8:30p,Los Angeles Lakers,145.0,Golden State Warriors,144.0,Box Score,2OT,"18,064",Chase Center,
678,"Sat, Jan 27, 2024",8:30p,Minnesota Timberwolves,112.0,San Antonio Spurs,113.0,Box Score,,"17,726",Frost Bank Center,
679,"Sat, Jan 27, 2024",9:00p,Sacramento Kings,120.0,Dallas Mavericks,115.0,Box Score,,"20,373",American Airlines Center,
680,"Sun, Jan 28, 2024",2:00p,Oklahoma City Thunder,104.0,Detroit Pistons,120.0,Box Score,,"16,861",Little Caesars Arena,
681,"Sun, Jan 28, 2024",3:30p,Memphis Grizzlies,110.0,Indiana Pacers,116.0,Box Score,,"16,519",Gainbridge Fieldhouse,
682,"Sun, Jan 28, 2024",6:00p,Toronto Raptors,125.0,Atlanta Hawks,126.0,Box Score,,"15,658",State Farm Arena,
683,"Sun, Jan 28, 2024",6:00p,Phoenix Suns,98.0,Orlando Magic,113.0,Box Score,,"18,823",Kia Center,
684,"Sun, Jan 28, 2024",9:00p,Chicago Bulls,104.0,Portland Trail Blazers,96.0,Box Score,,"17,899",Moda Center,
685,"Mon, Jan 29, 2024",7:00p,New York Knicks,113.0,Charlotte Hornets,92.0,Box Score,,"15,546",Spectrum Center,
686,"Mon, Jan 29, 2024",7:00p,Los Angeles Clippers,108.0,Cleveland Cavaliers,118.0,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
687,"Mon, Jan 29, 2024",7:30p,New Orleans Pelicans,112.0,Boston Celtics,118.0,Box Score,,"19,156",TD Garden,
688,"Mon, Jan 29, 2024",7:30p,Utah Jazz,114.0,Brooklyn Nets,147.0,Box Score,,"16,054",Barclays Center,
